subject,difficulty,question_text,question_image,options,correct_answer,id,created_date,updated_date,created_by_id,is_sample
"maths","4","María tiene 12 lápices y regala 5. ¿Cuántos le quedan?","","[""5"",""6"",""7"",""8""]","7","68f9c923971a55481b6ba805","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","5","¿Cuánto es 20 - 8?","","[""10"",""11"",""12"",""13""]","12","68f9c923971a55481b6ba806","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","1","¿Cómo se dice 'perro' en inglés?","","[""cat"",""dog"",""bird"",""fish""]","dog","68f9c923971a55481b6ba807","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","1","¿Cómo se dice 'gato' en inglés?","","[""cat"",""dog"",""mouse"",""rabbit""]","cat","68f9c923971a55481b6ba808","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","1","¿Qué color es 'red'?","","[""Azul"",""Rojo"",""Verde"",""Amarillo""]","Rojo","68f9c923971a55481b6ba809","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","2","¿Cómo se dice 'manzana' en inglés?","","[""orange"",""banana"",""apple"",""grape""]","apple","68f9c923971a55481b6ba80a","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","2","¿Qué significa 'happy'?","","[""Triste"",""Feliz"",""Enojado"",""Cansado""]","Feliz","68f9c923971a55481b6ba80b","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","2","¿Cómo se dice 'mamá' en inglés?","","[""dad"",""mom"",""sister"",""brother""]","mom","68f9c923971a55481b6ba80c","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","3","¿Qué significa 'book'?","","[""Mesa"",""Silla"",""Libro"",""Lápiz""]","Libro","68f9c923971a55481b6ba80d","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","3","¿Cómo se dice 'escuela' en inglés?","","[""house"",""school"",""park"",""store""]","school","68f9c923971a55481b6ba80e","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","3","¿Qué significa 'big'?","","[""Pequeño"",""Grande"",""Alto"",""Bajo""]","Grande","68f9c923971a55481b6ba80f","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","4","¿Cómo se dice 'jugar' en inglés?","","[""run"",""jump"",""play"",""eat""]","play","68f9c923971a55481b6ba810","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","4","¿Qué significa 'friend'?","","[""Familia"",""Amigo"",""Maestro"",""Vecino""]","Amigo","68f9c923971a55481b6ba811","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"english","5","¿Cómo se dice 'buenos días' en inglés?","","[""Good night"",""Good morning"",""Good afternoon"",""Goodbye""]","Good morning","68f9c923971a55481b6ba812","2025-10-23T06:20:19.213000","2025-10-23T06:20:19.213000","68f8bc1e327b319b57e0d51f",""
"maths","2","¿Cuánto es 2 + 3?","","[""4"",""5"",""6"",""7""]","5","68fa82a21c8caf95f20f7f2c","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","2","¿Cuántas patas tiene un perro?","","[""2"",""3"",""4"",""5""]","4","68fa82a21c8caf95f20f7f2d","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","3","¿Cuánto es 5 + 5?","","[""8"",""9"",""10"",""11""]","10","68fa82a21c8caf95f20f7f2e","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","3","Si tienes 3 manzanas y te dan 2 más, ¿cuántas tienes?","","[""4"",""5"",""6"",""7""]","5","68fa82a21c8caf95f20f7f2f","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","4","¿Cuánto es 10 - 3?","","[""5"",""6"",""7"",""8""]","7","68fa82a21c8caf95f20f7f30","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","4","¿Qué número viene después del 9?","","[""8"",""10"",""11"",""12""]","10","68fa82a21c8caf95f20f7f31","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","5","¿Cuánto es 6 + 4?","","[""8"",""9"",""10"",""11""]","10","68fa82a21c8caf95f20f7f32","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","5","Si tienes 8 caramelos y comes 3, ¿cuántos te quedan?","","[""3"",""4"",""5"",""6""]","5","68fa82a21c8caf95f20f7f33","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","2","¿Cómo se dice 'perro' en inglés?","","[""Cat"",""Dog"",""Fish"",""Bird""]","Dog","68fa82a21c8caf95f20f7f34","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","2","¿Cómo se dice 'gato' en inglés?","","[""Cat"",""Dog"",""Mouse"",""Lion""]","Cat","68fa82a21c8caf95f20f7f35","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","3","¿Qué color es 'red' en español?","","[""Azul"",""Verde"",""Rojo"",""Amarillo""]","Rojo","68fa82a21c8caf95f20f7f36","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","3","¿Cómo se dice 'casa' en inglés?","","[""House"",""Car"",""Tree"",""Book""]","House","68fa82a21c8caf95f20f7f37","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","4","¿Qué significa 'happy' en español?","","[""Triste"",""Feliz"",""Enojado"",""Cansado""]","Feliz","68fa82a21c8caf95f20f7f38","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","4","¿Cómo se dice 'mamá' en inglés?","","[""Father"",""Mother"",""Sister"",""Brother""]","Mother","68fa82a21c8caf95f20f7f39","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","5","¿Qué significa 'book' en español?","","[""Mesa"",""Silla"",""Libro"",""Lápiz""]","Libro","68fa82a21c8caf95f20f7f3a","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"english","5","¿Cómo se dice 'grande' en inglés?","","[""Small"",""Big"",""Fast"",""Slow""]","Big","68fa82a21c8caf95f20f7f3b","2025-10-23T19:31:46.694000","2025-10-23T19:31:46.694000","68f8bc1e327b319b57e0d51f",""
"maths","1","¿Cuántos dedos tienes en una mano?","","[""3"",""5"",""7"",""10""]","5","68fa831394995ee0e68b77f2","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"maths","1","Si tienes 2 manzanas y te dan 1 más, ¿cuántas tienes?","","[""1"",""2"",""3"",""4""]","3","68fa831394995ee0e68b77f3","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"maths","2","¿Cuánto es 5 + 3?","","[""6"",""7"",""8"",""9""]","8","68fa831394995ee0e68b77f4","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"maths","2","Si tienes 10 caramelos y comes 4, ¿cuántos te quedan?","","[""4"",""5"",""6"",""7""]","6","68fa831394995ee0e68b77f5","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"maths","3","¿Cuánto es 7 + 6?","","[""11"",""12"",""13"",""14""]","13","68fa831394995ee0e68b77f6","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"maths","3","¿Cuántas patas tiene una araña?","","[""4"",""6"",""8"",""10""]","8","68fa831394995ee0e68b77f7","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"maths","4","¿Cuánto es 15 - 8?","","[""5"",""6"",""7"",""8""]","7","68fa831394995ee0e68b77f8","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"maths","4","¿Cuántos días tiene una semana?","","[""5"",""6"",""7"",""8""]","7","68fa831394995ee0e68b77f9","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","1","¿Cómo se dice 'perro' en inglés?","","[""cat"",""dog"",""bird"",""fish""]","dog","68fa831394995ee0e68b77fa","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","1","¿Cómo se dice 'rojo' en inglés?","","[""blue"",""green"",""red"",""yellow""]","red","68fa831394995ee0e68b77fb","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","2","¿Cómo se dice 'casa' en inglés?","","[""home"",""car"",""tree"",""book""]","home","68fa831394995ee0e68b77fc","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","2","¿Cómo se dice 'agua' en inglés?","","[""fire"",""water"",""air"",""earth""]","water","68fa831394995ee0e68b77fd","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","3","¿Cómo se dice 'feliz' en inglés?","","[""sad"",""angry"",""happy"",""tired""]","happy","68fa831394995ee0e68b77fe","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","3","¿Cómo se dice 'escuela' en inglés?","","[""school"",""hospital"",""store"",""park""]","school","68fa831394995ee0e68b77ff","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","4","¿Cómo se dice 'mariposa' en inglés?","","[""butterfly"",""bee"",""ant"",""spider""]","butterfly","68fa831394995ee0e68b7800","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
"english","4","¿Cómo se dice 'familia' en inglés?","","[""friend"",""family"",""teacher"",""student""]","family","68fa831394995ee0e68b7801","2025-10-23T19:33:39.135000","2025-10-23T19:33:39.135000","68f8bc1e327b319b57e0d51f",""
